Product Name,Category,Price,Units Sold,Revenue,Cost,Date,Region
Chicken Biryani,Biryani,179.0,125,22375.0,100.0,2025-12-10,Chennai
Chicken Biryani,Biryani,179.0,113,20227.0,100.0,2025-12-10,Bangalore
Chicken Biryani,Biryani,199.0,108,21492.0,100.0,2025-12-10,Mumbai
Chicken Biryani,Biryani,189.0,131,24759.0,100.0,2025-12-10,Delhi
Chicken Biryani,Biryani,189.0,103,19467.0,100.0,2025-12-10,Hyderabad
Chicken Biryani,Biryani,189.0,103,19467.0,100.0,2025-12-10,Pune
Margherita Pizza,Pizza,229.0,116,26564.0,120.0,2025-12-10,Chennai
Margherita Pizza,Pizza,269.0,79,21251.0,120.0,2025-12-10,Bangalore
Margherita Pizza,Pizza,229.0,87,19923.0,120.0,2025-12-10,Mumbai
Margherita Pizza,Pizza,269.0,77,20713.0,120.0,2025-12-10,Delhi
Margherita Pizza,Pizza,259.0,71,18389.0,120.0,2025-12-10,Hyderabad
Margherita Pizza,Pizza,229.0,87,19923.0,120.0,2025-12-10,Pune
Veggie Burger,Burger,69.0,182,12558.0,45.0,2025-12-10,Chennai
Veggie Burger,Burger,69.0,125,8625.0,45.0,2025-12-10,Bangalore
Veggie Burger,Burger,79.0,109,8611.0,45.0,2025-12-10,Mumbai
Veggie Burger,Burger,79.0,135,10665.0,45.0,2025-12-10,Delhi
Veggie Burger,Burger,109.0,82,8938.0,45.0,2025-12-10,Hyderabad
Veggie Burger,Burger,109.0,101,11009.0,45.0,2025-12-10,Pune
Hakka Noodles,Chinese,109.0,71,7739.0,60.0,2025-12-10,Chennai
Hakka Noodles,Chinese,149.0,46,6854.0,60.0,2025-12-10,Bangalore
Hakka Noodles,Chinese,119.0,91,10829.0,60.0,2025-12-10,Mumbai
Hakka Noodles,Chinese,149.0,56,8344.0,60.0,2025-12-10,Delhi
Hakka Noodles,Chinese,139.0,63,8757.0,60.0,2025-12-10,Hyderabad
Hakka Noodles,Chinese,119.0,58,6902.0,60.0,2025-12-10,Pune
Salmon Sushi,Sushi,439.0,22,9658.0,220.0,2025-12-10,Chennai
Salmon Sushi,Sushi,449.0,24,10776.0,220.0,2025-12-10,Bangalore
Salmon Sushi,Sushi,429.0,20,8580.0,220.0,2025-12-10,Mumbai
Salmon Sushi,Sushi,409.0,26,10634.0,220.0,2025-12-10,Delhi
Salmon Sushi,Sushi,419.0,22,9218.0,220.0,2025-12-10,Hyderabad
Salmon Sushi,Sushi,439.0,23,10097.0,220.0,2025-12-10,Pune
Penne Alfredo,Pasta,169.0,48,8112.0,80.0,2025-12-10,Chennai
Penne Alfredo,Pasta,169.0,67,11323.0,80.0,2025-12-10,Bangalore
Penne Alfredo,Pasta,159.0,56,8904.0,80.0,2025-12-10,Mumbai
Penne Alfredo,Pasta,159.0,48,7632.0,80.0,2025-12-10,Delhi
Penne Alfredo,Pasta,169.0,59,9971.0,80.0,2025-12-10,Hyderabad
Penne Alfredo,Pasta,149.0,50,7450.0,80.0,2025-12-10,Pune
Chicken Biryani,Biryani,179.0,120,21480.0,100.0,2025-12-11,Chennai
Chicken Biryani,Biryani,209.0,65,13585.0,100.0,2025-12-11,Bangalore
Chicken Biryani,Biryani,179.0,93,16647.0,100.0,2025-12-11,Mumbai
Chicken Biryani,Biryani,199.0,102,20298.0,100.0,2025-12-11,Delhi
Chicken Biryani,Biryani,199.0,110,21890.0,100.0,2025-12-11,Hyderabad
Chicken Biryani,Biryani,219.0,88,19272.0,100.0,2025-12-11,Pune
Margherita Pizza,Pizza,249.0,80,19920.0,120.0,2025-12-11,Chennai
Margherita Pizza,Pizza,229.0,89,20381.0,120.0,2025-12-11,Bangalore
Margherita Pizza,Pizza,259.0,59,15281.0,120.0,2025-12-11,Mumbai
Margherita Pizza,Pizza,269.0,63,16947.0,120.0,2025-12-11,Delhi
Margherita Pizza,Pizza,229.0,87,19923.0,120.0,2025-12-11,Hyderabad
Margherita Pizza,Pizza,259.0,88,22792.0,120.0,2025-12-11,Pune
Veggie Burger,Burger,69.0,185,12765.0,45.0,2025-12-11,Chennai
Veggie Burger,Burger,109.0,71,7739.0,45.0,2025-12-11,Bangalore
Veggie Burger,Burger,89.0,132,11748.0,45.0,2025-12-11,Mumbai
Veggie Burger,Burger,109.0,91,9919.0,45.0,2025-12-11,Delhi
Veggie Burger,Burger,89.0,113,10057.0,45.0,2025-12-11,Hyderabad
Veggie Burger,Burger,109.0,106,11554.0,45.0,2025-12-11,Pune
Hakka Noodles,Chinese,119.0,86,10234.0,60.0,2025-12-11,Chennai
Hakka Noodles,Chinese,109.0,93,10137.0,60.0,2025-12-11,Bangalore
Hakka Noodles,Chinese,109.0,72,7848.0,60.0,2025-12-11,Mumbai
Hakka Noodles,Chinese,119.0,71,8449.0,60.0,2025-12-11,Delhi
Hakka Noodles,Chinese,129.0,71,9159.0,60.0,2025-12-11,Hyderabad
Hakka Noodles,Chinese,109.0,94,10246.0,60.0,2025-12-11,Pune
Salmon Sushi,Sushi,419.0,23,9637.0,220.0,2025-12-11,Chennai
Salmon Sushi,Sushi,409.0,24,9816.0,220.0,2025-12-11,Bangalore
Salmon Sushi,Sushi,439.0,20,8780.0,220.0,2025-12-11,Mumbai
Salmon Sushi,Sushi,429.0,20,8580.0,220.0,2025-12-11,Delhi
Salmon Sushi,Sushi,439.0,27,11853.0,220.0,2025-12-11,Hyderabad
Salmon Sushi,Sushi,429.0,29,12441.0,220.0,2025-12-11,Pune
Penne Alfredo,Pasta,159.0,56,8904.0,80.0,2025-12-11,Chennai
Penne Alfredo,Pasta,169.0,61,10309.0,80.0,2025-12-11,Bangalore
Penne Alfredo,Pasta,169.0,55,9295.0,80.0,2025-12-11,Mumbai
Penne Alfredo,Pasta,159.0,51,8109.0,80.0,2025-12-11,Delhi
